,Rank,Country,Download Speed (Mbps),Upload Speed (Mbps),# Download Tests,# Upload Tests,No. IPs
122,123,Laos,1.99,1.93,47,57,43
123,124,Mongolia,1.98,1.82,71,76,42
124,125,Vanuatu,1.94,2.05,41,41,4
125,126,French Polynesia,1.92,0.48,163,168,105
126,127,Indonesia,1.88,1.82,91028,93531,54667
127,128,Zimbabwe,1.85,0.61,311,372,229
128,129,Mozambique,1.85,1.51,270,277,171
129,130,Tanzania,1.75,1.74,362,383,224
130,131,Nepal,1.73,3.38,10160,11797,5474
131,132,Niger,1.71,1.39,42,47,23
132,133,Guyana,1.71,0.81,563,632,347
133,134,Argentina,1.7,0.78,23690,26451,10732
134,135,Mauritius,1.62,1.91,127,171,122
135,136,Haiti,1.62,1.86,113,138,81
136,137,Paraguay,1.56,1.91,1370,1526,772
137,138,Seychelles,1.52,0.77,40,41,14
138,139,Kazakhstan,1.52,1.37,632,945,725
139,140,Fiji,1.5,0.67,69,69,25
140,141,Uzbekistan,1.49,0.62,1158,1660,1172
141,142,Armenia,1.46,0.88,111,168,122
142,143,Algeria,1.42,0.56,5007,5322,3824
143,144,Azerbaijan,1.37,0.6,1355,1599,1097
144,154,Mali,1.34,1.25,93,124,97
145,146,Cambodia,1.29,7.3,473,549,384
146,147,Angola,1.27,1.16,241,279,144
147,148,Gabon,1.23,0.98,136,173,117
148,149,Bhutan,1.22,2.47,10,9,5
149,150,Marshall Islands,1.19,6.22,30,33,8
150,151,Senegal,1.18,0.44,397,498,360
151,152,Nigeria,1.16,1.56,2693,2967,1409
152,153,Ghana,1.14,1.1,638,732,447
153,154,Togo,1.09,0.82,158,194,140
154,155,Chad,1.09,0.97,22,26,21
155,156,Sierra Leone,1.07,1.4,6,7,5
156,157,Suriname,1.05,0.69,220,240,130
157,158,Mauritania,1.02,0.3,85,90,64
158,159,Equatorial Guinea,1.01,1.13,10,11,9
159,160,São Tomé and Príncipe,0.98,1.27,24,25,18
160,161,Zambia,0.91,1.28,86,97,62
161,162,Pakistan,0.86,0.57,9795,13195,9141
162,163,Bangladesh,0.86,2.65,23702,27739,8293
163,164,Rwanda,0.81,1.03,78,41,26
164,165,Libya,0.75,0.63,592,691,452
165,166,Djibouti,0.75,0.26,19,30,21
166,167,Lebanon,0.74,0.92,1778,2556,1305
167,168,DR Congo,0.73,0.51,47,58,55
168,169,Venezuela,0.71,0.41,10773,11255,5937
169,170,Botswana,0.66,0.96,189,219,138
170,171,Comoros,0.65,0.26,5,5,4
171,172,Benin,0.65,0.86,84,104,77
172,173,Maldives,0.55,0.81,242,310,116
173,174,Somalia,0.52,0.48,267,355,143
174,175,Yemen,0.46,0.15,551,597,574
175,176,Malawi,0.41,0.71,5,9,9
176,177,Congo Republic,0.39,1.88,19,21,14
177,178,East Timor,0.36,0.62,7,8,9
178,179,Afghanistan,0.34,0.23,59,77,51
