country,PopMale,PopFemale,PopTotal
Swaziland,685,691,1376
Sweden,5067,5052,10119
Switzerland,4002,4100,8103
Syrian Arab Republic,12480,12181,24661
TFYR Macedonia,1064,1057,2121
Tajikistan,3992,4174,8165
Thailand,36170,37579,73748
Timor-Leste,783,754,1537
Togo,3719,3788,7506
Tokelau,,,1
Tonga,57,56,113
Trinidad and Tobago,680,728,1408
Tunisia,5894,5926,11819
Turkey,41260,41502,82763
Turkmenistan,2861,2965,5826
Turks and Caicos Islands,,,44
Tuvalu,,,10
Uganda,23208,23104,46312
Ukraine,20306,23732,44038
United Arab Emirates,6337,3019,9356
United Kingdom,33343,33795,67138
United Republic of Tanzania,31197,31096,62293
United States Virgin Islands,51,57,108
United States of America,170871,173096,343966
Uruguay,1732,1840,3572
Uzbekistan,15728,15877,31605
Vanuatu,157,152,309
Venezuela (Bolivarian Republic of),17097,17063,34160
Viet Nam,48971,49709,98680
Wallis and Futuna Islands,,,13
Western Africa,201928,198044,399972
Western Asia,146519,137296,283816
Western Europe,96214,99509,195723
Western Sahara,385,349,735
World,3951252,3881119,7832370
Yemen,16581,16332,32912
Zambia,9172,9080,18253
Zimbabwe,7960,7997,15956
