Country,Rank,Download_Speed_MBPS,Upload_Speed_Mbps,Download_Tests,Upload_Tests,No_IPs
Poland,31,25.77,10.06,6022,6468,1608
Portugal,44,17.27,10.46,13317,14626,6238
Qatar,50,14.27,8.83,848,1639,759
Republic of Lithuania,30,27.47,16.99,782,721,232
Republic of Moldova,66,8.9,7.14,508,609,338
Romania,27,28.55,25.62,2418,2682,989
Russia,69,8.06,8.83,18427,22181,9176
Rwanda,164,0.81,1.03,78,41,26
Sao Tome and Principe,160,0.98,1.27,24,25,18
Saint Lucia,35,21.44,5.55,44,46,37
Saint Pierre and Miquelon,20,34.4,4.48,13,10,1
Saint Vincent and the Grenadines,64,9.35,4.35,42,49,24
San Marino,11,61.89,9.76,4,3,3
Saudi Arabia,85,5.13,2.95,8083,10995,6021
Senegal,151,1.18,0.44,397,498,360
Serbia,48,15.21,4.42,6155,6230,3940
Seychelles,138,1.52,0.77,40,41,14
Sierra Leone,156,1.07,1.4,6,7,5
Slovakia,39,19.95,9.55,2443,2574,493
Slovenia,57,12.21,8.98,971,977,258
Solomon Islands,78,7.09,3.61,7,7,6
Somalia,174,0.52,0.48,267,355,143
South Africa,101,3.7,2.27,40879,39240,16373
South Korea,15,44.42,41.96,5215,5393,413
South Sudan,191,0.04,0.39,1,5,1
Spain,29,28.5,25.92,76757,82229,29253
Sri Lanka,87,4.91,2.13,304,465,329
St Kitts and Nevis,97,4.36,1.21,95,73,22
Suriname,157,1.05,0.69,220,240,130
Sweden,6,91.36,86.04,20812,23875,2071
Switzerland,4,93.6,41.44,65614,74350,1907
Taiwan,26,30.58,18.14,9999,19865,753
Tajikistan,185,0.23,0.82,44,71,45
Tanzania,130,1.75,1.74,362,383,224
Thailand,49,14.9,15.01,14186,16359,10329
Togo,154,1.09,0.82,158,194,140
Trinidad and Tobago,56,12.28,7.02,500,600,267
Tunisia,104,3.58,0.71,2988,2937,2076
Turkey,84,5.22,0.66,9915,11150,7272
Turkmenistan,180,0.32,0.59,11,13,8
U.S. Virgin Islands,53,13.86,4.9,152,142,43
Uganda,119,2.14,2.04,572,587,311
Ukraine,59,11.21,11.59,5070,5783,3026
United Arab Emirates,79,6.76,6.01,3808,6077,2716
United Kingdom,28,28.51,8.87,296494,316680,65332
United States,13,54.99,10.45,1972335,2126398,364898
Uruguay,70,8.05,6.91,1002,1114,852
Uzbekistan,141,1.49,0.62,1158,1660,1172
Vanuatu,125,1.94,2.05,41,41,4
Venezuela,169,0.71,0.41,10773,11255,5937
Vietnam,47,16.39,19.21,8144,8716,6118
Yemen,175,0.46,0.15,551,597,574
Zambia,161,0.91,1.28,86,97,62
Zimbabwe,128,1.85,0.61,311,372,229
